Code,Code (terminaison),DES,Début du nom,Objet,Date de reconnaissance,Dernière modif statuts,Catégorie,Adresse,Adresse.Adr1,Adresse.Adr2,Code Postal,Ville
75.000.0299,0299,"ANCIENS COMBATTANTS, DE VICTIMES DE GUERRE ET DES JEUNESSES DE L'UNION FEDERALE",UNION FEDERALE DES ASSOCIATIONS FRANCAISES D',"Créer et maintenir entre les associations adhérentes un lien permanent de relations, d'assistance et de défense mutuelle.",25/06/1952,04/07/2001,"38000 armée, anc combattants",SIEGE,de l'Union Fédérale,"1, rue de Brissac",75869,PARIS
75.000.0300,0300,ŒUVRE DE LA CHAUSSEE DU MAINE- CEASIL (OCM-CEASIL),,"Venir en aide sous des formes diverses tant au point de vue moral que matériel, aux familles de situation modeste.",09/09/1890,07/11/2003,20000 caritatives humanit. dev,SIEGE,"4, rue Vigée Lebrun",,75007,PARIS
59.000.0301,00301,UNION FRANCAISE DE LA JEUNESSE,,"Donner gratuitement,  sans distinction de sexes, d'origines ethniques, de religions, de convictions philosophiques, un enseignement post scolaire et de perfectionnement professionnel.",12/05/1893,27/07/2015,15000 éducation formation,SIEGE,"33, Quai du Wault",Résidence d'Anjou,59800,LILLE
75.000.0302,0302,SOCIETE FRANCAISE DE PHOTOBIOLOGIE,,"Appliquer les nouvelles découvertes dans le domaine des radiations et poursuivre tant par le traitement direct des malades que par des recherches scientifiques, la mise au point de l'actinothérapie et les progrès de la polyradiothérapie.",16/05/1929,14/09/1957,17000 santé,SIEGE,"57, boulevard du Montparnasse",,75011,PARIS
75.000.0303,0303,ŒUVRE DES ORPHELINS DES DOUANES,,Pouvoir à l'assistance des orphelins et pupilles des personnels des douanes et assimilés.,18/04/1922,16/02/2010,18000 services medico-sociaux,SIEGE,"118/130, avenue Jean-Jaurès",Immeuble le Belvédère,75008,PARIS
33.000.0304,0304,"AMIS DU GRAND THEATRE, OPERA DE BORDEAUX",,"œuvrer au développement du renom artistique et de la sauvegarde du Grand théâtre, ainsi qu'à la propagation du goût des arts scéniques et lyriques, par les moyens appropriés.",22/03/1956,23/07/1957,10000 préservation patrimoine,SIEGE,"1, place Saint Christoly",,33000,BORDEAUX
38.000.0305,0305,FOYER ETUDIANT - RESIDENCE INTERNATIONALE,,"Créer et administrer des maisons ou foyers destinés à recevoir des étudiantes françaises ou étrangères, de toutes opinions philosophiques ou religieuses, pour améliorer les conditions morales et sociales de leur vie universitaire.",17/08/1923,10/11/2003,19000 interventions sociales,SIEGE,,,38000,GRENOBLE
14.000.0306,0306,ŒUVRE NOTRE-DAME,,"Recueillir les jeunes filles pauvres, spécialement les orphelines et les mendiantes ; les entretenir en bonne santé comme en état de maladie ; leur donner l'éducation morale, intellectuelle religieuse et professionnelle, pourvoir à leur placement dans la société.",02/06/1859,09/09/2003,19000 interventions sociales,SIEGE,14 rue du Moulin au Roy,,14000,CAEN
92.000.0308,0308,PROTECTION CIVILE (FNPC),FEDERATION  NATIONALE DE,Mettre en œuvre tous les moyens dont elle dispose en vue d'assurer la protection des populations civiles contre les dangers en temps de paix comme en temps de crise.,14/11/1969,12/01/1998,36000 sécurité,SIEGE,,,92200,ASNIERES
75.000.0309,0309,ENTRAIDE COOPERATIVE,L',"- mettre à la disposition prioritaire des coopérateurs, de leurs familles et accessoirement de tout autre public, un ensemble de réalisations de loisirs individuels et collectifs,
- mettre à la disposition prioritaire des coopérateurs, de leurs familles et accessoirement de tout autre public, des établissements sanitaires et médico-sociaux et notamment des centres de moyen séjour et de rééducation et des maisons d'accueil de personnes âgées et/ou dépendantes,
- exprimer la solidarité internationale des coopérateurs français, en mettant en œuvre toutes activités d'appui aux populations défavorisées et notamment à celles des pays en voie de développement.",22/03/1926,22/11/2014,17000 santé,SIEGE,"76, rue Saint-Lazare",,75009,PARIS
31.000.0310,0310,ACADEMIE DE L'AIR ET DE L'ESPACE,,"Favoriser le développement  d'activités scientifiques, techniques culturelles de haute qualité dans le domaine de l'air, l'espace ;  valoriser, enrichir le patrimoine scientifique technique et culturel, diffuser les connaissances.",09/06/1987,29/06/2011,08 Culture et sciences,SIEGE,"1, avenue Camille Flammarion",BP75825,31505,TOULOUSE CEDEX 5
75.000.0311,0311,LIGUE FRATERNELLE DES ENFANTS DE FRANCE,ASSOCIATION,"Secourir l'enfance malheureuse en créant les liens d'une véritable fraternité entre les enfants pauvres orphelins ou abandonnés et les enfants, jeunes gens et jeunes filles qui sont en situation de leur venir en aide.",23/03/1898,10/02/1967,17000 santé,SIEGE,"33, rue Daviel",,75018,PARIS
75.000.0312,0312,LAUREATS DU CONCOURS GENERAL,ASSOCIATION DES,"Encourager les études classiques, défendre les humanités, venir en aide financièrement aux lauréats et à tous ceux qui ont contribué au développement de ces études, établir un cercle amicale de tous les lauréats.",10/12/1935,,15000 éducation formation,SIEGE,"89, boulevard Saint-Michel",,75003,PARIS
75.000.0313,0313,LECTURE AU SANATORIUM,LA,"Procurer des livres aux malades et aider à la création, à l'accroissement et à l'organisation des bibliothèques de sanatoriums.",10/09/1947,,17000 santé,SIEGE,"16, rue de l'Abbé de l'Epée",,75475,PARIS
92.000.0314,0314,HISPANO-AMERICAINE SAN-FERNANDO,,"Protéger et donner refuge aux abandonnés, vieillards, enfants ou malades pauvres des deux sexes, de nationalité espagnole ou hispano-américaine.",24/08/1907,23/10/1990,14000 amicales groupts affinit,SIEGE,"121, boulevard Bineau",,92600,NEUILLY-SUR-SEINE
75.000.0315,0315,ŒUVRE D'ASSISTANCE SOCIALE A L'ENFANCE JUIVE (ODASEJ),,"Prendre sous sa protection les enfants israélites dont le père serait mort sous les drapeaux au service de la France et notamment, donner à ces orphelins l'aide morale qui pourrait leur faire défaut.",28/05/1919,20/03/1989,14000 amicales groupts affinit,SIEGE,"39, rue Broca",,75008,PARIS
75.000.0318,0318,SOCIETES D'EDUCATION PHYSIQUE ET DE PREPARATION MILITAIRE (USEPPM),UNION DES,"Réunir et grouper les sociétés d'éducation physique, de préparation et l'éducation militaire,  de gymnastique, de tir et de sports et coordonner leurs efforts en vue de développer en commun.",02/08/1922,23/10/1953,11000 sports,SIEGE,"23, rue de la Sourdière",,75014,PARIS
75.000.0319,0319,SOCIETES DES COLLECTIONNEURS DE FIGURINES ET AMIS DE L'HISTOIRE MILITAIRE - LA SABRETACHE,,"Poursuivre la création d'un musée historique de l'armée, étude de l'histoire militaire nationale.",28/02/1929,31/03/1970,07000 clubs de loisirs,SIEGE,"7, rue Guersant",,75014,PARIS
75.000.0320,0320,LIGUE NATIONALE CONTRE LE TAUDIS,,Amélioration des logements insalubres ou leur suppression.,22/04/1927,20/01/2006,32000 logement,SIEGE,"27, rue de la Rochefoucauld",,75013,PARIS
75.000.0321,0321,OFFICIERS DE RESERVE DE L'ARMEE BLINDEE ET DE LA CAVALERIE (SAUMUR-ANORBAC),ASSOCIATION NATIONALE DES,Développer et resserrer les liens de camaraderie existants entre les AE officiers de réserve de cavalerie sortis de l'école militaire.,10/12/1935,27/03/1961,"38000 armée, anc combattants",SIEGE,"20, rue Ernest Renan",,75015,PARIS
75.000.0322,0322,SANTE DE LA FAMILLE DES CHEMINS DE FER FRANCAIS,LA,Sauvegarder la santé ainsi que celle de leur descendance des agents des chemins de fer français.,09/12/1950,17/03/1997,17000 santé,SIEGE,Bät. C - Etg 2,,75009,PARIS
75.000.0324,0324,ACADEMIE VETERINAIRE DE FRANCE,,Elle peut être appelée par le gouvernement à donner son avis sur toutes questions de sa compétence.,16/04/1878,24/07/2006,17000 santé,SIEGE,"34, rue Bréguet",,75019,PARIS
64.000.0325,0325,MARIE SEDIEY,ASSOCIATION,Protéger l'enfance malheureuse Dissolution demandée par l'AG..,11/01/1938,,17000 santé,SIEGE,"18 ter, Bd Alsace Lorraine",,64100,BAYONNE
43.000.0326,0326,BIENFAISANCE PARMI LES PROTESTANTS DE LA PAROISSE DE CHAMBON SUR LIGNON,ASSOCIATION DE,Pratiquer l'assistance matérielle et morale aux indigents de la paroisse.,25/12/1929,,14000 amicales groupts affinit,SIEGE,Diaconat du Chambon,,43000,CHAMBON-SUR-LIGNON
75.000.0327,0327,INSTITUT D'ETUDES SLAVES,,"Développer les études relatives à la connaissance des choses Slaves, et en général des choses de l'Europe centrale et orientale, et par là resserrer les liens qui unissent les peuples Slaves à la France.",22/11/1925,02/01/1957,08 Culture et sciences,SIEGE,"9, rue Michelet",,75008,PARIS
59.000.0328,0328,ACADEMIES ET DU CONSERVATOIRE DE VALENCIENNES,ASSOCIATION DES A.E.DES,Encourager les efforts des jeunes élèves des académies et du conservatoire de musique originaires de Valenciennes et de son arrondissement qui se destinent à une carrière artistique.,12/07/1923,,06000 culture,SIEGE,,,59300,AULNOY LES VALENCIENNES
75.000.0329,0329,MAISON DES ANCIENS COMBATTANTS DE LA 2e D.B.,,"Grouper ceux qui ont appartenu à la 2ème D.B. afin d'apporter à ses membres l'entraide et l'assistance sous toutes leurs formes dont ils pourraient avoir besoin pour eux mêmes, leurs familles et les familles de leurs camarades morts pour la France.",20/01/1950,05/10/1970,"38000 armée, anc combattants",SIEGE,26 Allée du Chef d'Escadron de Guillebon,,75005,PARIS
58.000.0330,0330,ŒUVRES LAIQUES DE LA NIEVRE,FEDERATION  DES,"Promouvoir dans les divers milieux des institutions éducatives et sociales laïques, et contribuer à la défense de leurs intérêts matériels et moraux.",07/02/1973,,15000 éducation formation,SIEGE,"6, Allée du Docteur Subert",,58000,NEVERS
65.000.0333,0333,ŒUVRE LAMON,,"Créer, développer et propager dans le département des Hautes Pyrénées des œuvres d'assistance et de bienfaisance sous diverses formes au profit d'enfants du sexe masculin, orphelins ou appartenant à des familles indigentes.",06/11/1946,01/06/1976,19000 interventions sociales,SIEGE,"34, rue Eugène Tenot",,65000,TARBES
67.000.0334,0334,INSTITUTION PROTESTANTE DES SOURDS-MUETS POUR L'ALSACE-LORRAINE,,"Prendre soin du développement physique et intellectuel, de l'éducation et l'instruction d'enfants sourd-muets, de religion protestante, dont les parents ou les tuteurs ont leur domicile en Alsace et en Lorraine.",01/03/1889,,18000 services medico-sociaux,SIEGE,"7, rue de Soultz",,67100,STRASBOURG
89.000.0335,0335,SOCIETE D'ETUDES D'AVALLON (SEA),,"Faciliter et encourager les études, les recherches, les travaux concernant l'histoire, les sciences, les lettres et les arts dans l'Avallonais.",03/03/1969,,16000 recherche,SIEGE,rue des Odebert,,88026,AVALLON
31.000.0336,0336,COLLEGE D'OCCITANIA,,Enseigner la langue d'Oc et organiser à cette fin des manifestations artistiques et littéraires.,25/11/1969,,16000 recherche,SIEGE,"31, rue de la Fonderie",,31008,TOULOUSE CEDEX
67.000.0337,0337,CHORALE STRASBOURGEOISE,,Cultiver le chant populaire et artistique.,05/09/1895,03/05/1955,06000 culture,SIEGE,"5, rue Sellénick",,67000,STASBOURG
67.000.0338,0338,CLUB NAUTIQUE DE STRASBOURG,,Éducation physique et préparation militaire par la pratique de l'aviron et l'entretien des relations amicales entre ses membres.,01/04/1895,03/05/1955,11000 sports,SIEGE,"22, rue du Général Uhrich",,67000,STRASBOURG
62.000.0339,0339,NOTRE DAME DE LORETTE ET DE LA GARDE D'HONNEUR DE L'OSSUAIRE,ASSOCIATION DU MONUMENT DE,"Achever, entretenir aménager et desservir les deux parties du monument érigé sur la colline de Notre Dame de Lorette pour perpétuer le souvenir des batailles de l'Artois.",06/11/1963,08/01/2000,"38000 armée, anc combattants",SIEGE,,,62153,ABLAIN SAINT NAZAIRE
75.000.0340,0340,HOPITAL SAINT-MICHEL ET SAINT-VINCENT,ASSOCIATION DE L',Mettre à la disposition des malades des soins d'ordre chirurgical et médical.,22/11/1924,13/03/2014,17000 santé,SIEGE,"33, rue Olivier de Serres",,75730,PARIS CEDEX 15
75.000.0341,0341,LIGUE FRANCAISE POUR LA PROTECTION DU CHEVAL,,Protéger et défendre les divers équidés sauvages et domestiques.,25/11/1969,10/01/2013,24000 environnement,SIEGE,"10, Place Léon Blum",,75279,PARIS
13.000.0342,0342,ENFANTS DU MONDE,ASSOCIATION,"Sauvegarde de la vie des enfants de par le monde, aide adaptée directe ou indirecte aux plus malades et en détresse. Lutte contre les diverses oppressions dont sont victimes les enfants où qu'ils soient.",18/12/1986,14/06/1995,20000 caritatives humanit. dev,SIEGE,"46, rue du Berceau",,13005,MARSEILLE
62.000.0343,0343,COLLEGE ET DU LYCEE D'ARRAS,ASSOCIATION DES A.E.DU,Établir un centre commun de relations amicales et de fraternelle assistance.,26/08/1879,13/03/1959,15000 éducation formation,SIEGE,"5, place Victor Hugo",,62000,ARRAS
54.000.0344,0344,GROUPEMENT POUR L'INSERTION DES PERSONNES HANDICAPEES PHYSIQUES (GIHP),,"Entraide et défense des handicapés physiques avant, pendant, et après leurs études.",25/11/1969,04/09/2013,18000 services medico-sociaux,SIEGE,"8, rue des Myosotis",,54500,VANDŒUVRE
75.000.0345,0345,LYCEE COLBERT,ASSOCIATION AMICALE DES A.E. DU,"Patronage des jeunes sociétaires par les anciens. Entretenir des relations amicales entre tous ses membres, procurer une aide mutuelle et des emplois à ceux de ses membres qui  en sont dépourvus, et améliorer les situations de ceux qui en possèdent.",02/07/1921,09/10/1961,15000 éducation formation,SIEGE,"27, rue Chateau Landon",,75002,PARIS
75.000.0346,0346,MARINS ET MARINS ANCIENS COMBATTANTS (FAMMAC),FEDERATION  DES ASSOCIATIONS DE,"Créer un lien plus étroit entre les associations adhérentes, coordonner leurs efforts tout en leur laissant pour leur organisation intérieure l'autonomie la plus entière sans contrôle financier.",25/11/1950,18/12/1987,"38000 armée, anc combattants",SIEGE,"15, rue de Laborde",CC 19,75009,PARIS CEDEX 08
94.000.0347,0347,FOYER DE CACHAN,LE,"Venir en aide aux orphelins et enfants de familles en difficulté du personnel des P.T.T sans distinction de catégorie, en mettant à leurs dispositions un internat, des cours d'enseignement général et technique, des secours.",30/03/1922,20/07/2005,19000 interventions sociales,SIEGE,,,94300,CACHAN CEDEX
75.000.0348,0348,AURORE,ASSOCIATION,"Réadaptation sociale et professionnelle des personnes que la maladie, l'isolement, les détresses morales et matérielles, un séjour en prison ou à l'hôpital ont privé d'une vie normale.",04/11/1875,26/11/2007,19000 interventions sociales,SIEGE,1/3 rue Emmanuel Chauvière,,75010,PARIS
93.000.0349,0349,LIGUE DIONYSIENNE DE L'ENSEIGNEMENT,,Propager et développer à Saint Denis et dans l'arrondissement l'instruction et l'éducation par tous les moyens qui sont en son pouvoir.,20/05/1926,,15000 éducation formation,SIEGE,"57, Bd Jules Guesde",,93352,SAINT DENIS
75.000.0350,0350,BANQUE FRANCAISE DES YEUX,ASSOCIATION,Lutte contre la cécité en France et dans la Communauté. Elle concourt à l'aide et à la participation aux recherches scientifiques relatives à l'amélioration et à la prévention de la cécité.,07/04/1961,17/09/2010,17000 santé,SIEGE,"Fédération des centres de prélèvements , de conservation et de transplantation oculaire","172, rue de Charonne",75011,PARIS
75.000.0351,0351,SOCIETE DES INGENIEURS DIPLOMES DE L'ECOLE SPECIALE DES TRAVAUX PUBLICS DU BATIMENT ET DE L'INDUSTRIE (ETP),,Entretenir des relations suivies et des liens de camaraderie entre les ingénieurs anciens élèves diplômés de l' École Spéciale des Travaux Publics.,16/11/1950,11/01/1990,15000 éducation formation,SIEGE,15 rue Cortambert,,75016,PARIS
92.000.0352,0352,LIVRE DE L'AVEUGLE,LE,"Mettre à la disposition des aveugles tout ce qui peut leur faciliter la lecture et l'écriture, et  transcrire en ""Braille"" les livres utiles à leurs études et à l'exercice de leur profession.",02/06/1928,31/01/2013,18000 services medico-sociaux,SIEGE,,,92200,MALAKOFF
75.000.0353,0353,ACTION PRIVEE EN FAVEUR DU MONDE CULTUREL,,Venir en aide dans les difficultés de la vie.,05/07/1930,14/02/1968,06000 culture,SIEGE,"14, Square de l'Alboni",,75001,PARIS
25.000.0354,0354,HOSPICES PROTESTANTS,ASSOCIATION PROTESTANTE D'ACTION SOCIALE,"Recevoir des vieillards, des pensionnaires, des malades non payants et des malades payants.",06/04/1880,20/03/1984,17000 santé,SIEGE,"132, rue de Belfort",,25000,BESANÇON
75.000.0355,0355,SOCIETE LITTERAIRE DES GONCOURT,,"Encourager les lettres, aider les écrivains et  rendre plus étroites leurs relations de confraternité.",19/01/1903,22/05/2008,08 Culture et sciences,SIEGE,,,75006,PARIS
75.000.0356,0356,"LA FLAMME SOUS L'ARC DE TRIOMPHE, FLAMME DE LA NATION",,"Faire raviver quotidiennement au crépuscule la flamme sur la tombe du soldat inconnu,  et plus généralement entretenir sa mémoire, c'est-à-dire la mémoire de tous les combattants Français et alliés tombés au champ d'honneur.",10/11/1949,10/08/2012,"38000 armée, anc combattants",SIEGE,Couloir de Lille - Bal n° 9,"129, rue de Grenelle",75010,PARIS
972.000.0357,0357,LA RUCHE,,"Recueillir les enfants orphelins, abandonnés ou pupilles du sexe féminin, jusqu'à leur majorité.",06/05/1955,10/08/1973,18000 services medico-sociaux,SIEGE,"114, route de Moutte",,97200,FORT DE FRANCE
91.000.0358,0358,HOSPITALIERE LES CHEMINOTS,ASSOCIATION,"Combattre la tuberculose parmi les membres de la corporation des chemins de fer Français en activité ou retraités, soigner ceux qui pourront être accueillis dans ses établissements et apporter aide aux intéressés et leur famille.",18/06/1918,03/03/2014,17000 santé,SIEGE,,,91463,DRAVEIL CEDEX
75.000.0360,0360,ŒUVRE DES VIEUX MUSICIENS,,"Aider moralement et matériellement les musiciens en cas de maladie grave ou de détresse notoire, plus spécialement les vieux musiciens et exceptionnellement leurs ascendants, descendants, et conjoints selon les ressources de l'association",17/11/1929,12/11/1975,06000 culture,SIEGE,,,75004,PARIS
75.000.0361,0361,SOCIETE FRANCAISE DES ARCHITECTES (SFA),,Défendre les intérêts généraux et la dignité de la profession d'architecte; encourager  et récompenser les hautes études d'architecture au point de vue artistique et professionnel.,30/03/1915,20/12/1977,06000 culture,SIEGE,"247, rue Saint Jacques",,75005,PARIS
75.000.0362,0362,ASSOCIATION CATHOLIQUE DES SERVICES POUR LA JEUNESSE (ACSJF),COMITE PARISIEN DE L',"Offrir aux jeunes filles isolées un logement sûr, une nourriture saine et une vraie vie de famille quelle que soit la nature de leurs occupations.",21/01/1901,30/12/2011,19000 interventions sociales,SIEGE,"63, rue Monsieur le Prince",,75005,PARIS
92.000.0363,0363,ORPHELINAT DES ARTS DIT LES ENFANTS DES ARTS,L',"Création de maisons d'éducation pour les petites filles appartenant à des artistes dramatiques, peintres, musiciens ou lyriques, ou à des gens de lettres, quelle que soit leur religion, de quatre à dix huit ans accomplis.",20/12/1882,01/07/1998,19000 interventions sociales,SIEGE,,,92400,COURBEVOIE
75.000.0364,0364,SOLIDARITE JEUNESSE,,"Recueillir des enfants des deux sexes quel que soit leur âge, et les élever jusqu'à ce qu'ils puissent se suffire.",02/12/1927,24/01/2000,18000 services medico-sociaux,SIEGE,"90, rue du Faubourg Saint Martin",,75009,PARIS
38.000.0365,0365,SAINTE AGNES,ASSOCIATION,"Assurer la direction et la perpétuité de l'œuvre Sainte Agnès fondée en 1868 pour s'occuper d'adultes déficients intellectuels, pouvant avoir des troubles associés , dont l'orientation est décidée par une commission départementale.",13/07/1927,01/10/2013,18000 services medico-sociaux,SIEGE,BP 45,,38950,SAINT-MARTIN-LE-VINOUX
75.000.0366,0366,FABRICANTS POUR LA PROTECTION INTERNATIONALE DE LA PROPRIETE INTELLECTUELLE (UNIFAB),UNION DES,"Améliorer le régime des marques, des dessins et modèles, des noms commerciaux, des indications de provenance et de la concurrence.",28/05/1877,09/07/1976,23000 intérêts économiques,SIEGE,"16, rue de la Faisanderie",,75005,PARIS
75.000.0367,0367,ŒUVRE DE SAINT CASIMIR,,Assurer un asile et donner l'éducation morale et intellectuelle aux orphelins et aux filles les plus pauvres des réfugiés polonais.,16/06/1869,10/06/1958,18000 services medico-sociaux,SIEGE,"119, rue du Chevaleret",,75015,PARIS
75.000.0368,0368,INSTITUT FRANCAIS DES RELATIONS INTERNATIONALES (IFRI),,"Procéder à des recherches et à des études en matière de relations internationales, d'organiser des débats en cette matière, de publier les résultats de ses activités, d'établir des liens avec les différents organismes publics ou privés qui ont des objectifs analogues, d'établir ou développer des rapports avec les institutions étrangères à vocation comparable et d'accueillir des personnalités étrangères.",08/09/1949,25/09/2014,16000 recherche,SIEGE,"27, rue de la Procession",,75740,PARIS CEDEX 15
75.000.0369,0369,UNION FAMILIALE,,"Travailler à l'amélioration de la situation des classes laborieuses, en préparant la jeunesse en dehors de l'école à l'accomplissement du devoir familial et social.",27/11/1908,25/09/1981,19000 interventions sociales,SIEGE,"54, rue de la fontaine au Roi",,75784,PARIS
94.000.0370,0370,CONFERENCE AU VILLAGE,LA,"Maintien développement de l'idée de Patrie, de l'éducation morale, sociale, notamment dans les campagnes de l'enseignement agricole, diffusion des idées de nature à assurer la prospérité économique de la France et sa reconstitution matérielle,  morale.",14/11/1921,07/12/1951,15000 éducation formation,SIEGE,"4, cours Marigny",,94304,VINCENNES
75.000.0371,0371,CENTRE POUR L'ETUDE DU COMMERCE EXTERIEUR ET DES LANGUES ETRANGERES (CECELE),,"Faciliter l'étude pratique des langues étrangères aux jeunes se destinant au commerce et à l'industrie en vue de la formation d'employés, d' agents, de représentants et de voyageurs amenés à rendre service aux exportateurs.",25/06/1924,18/05/1973,15000 éducation formation,SIEGE,106/112 boulevard de l'hopital,,75016,PARIS
75.000.0372,0372,SOCIETE DES ETUDES ROBESPIERRISTES,,"Recherche et publication des documents ou travaux relatifs à l'histoire de Robespierre, de la Révolution et de l'Empire.",27/05/1935,05/11/1998,08 Culture et sciences,SIEGE,"17, rue de la Sorbonne",,75009,PARIS
59.000.0373,0373,COLOMBOPHILE FRANCAISE,FEDERATION,"Grouper les amateurs, assurer la formation des jeunes et nouveaux colombophiles, organisation de concours, amélioration du sport, amélioration de la race du pigeon voyageur, opposition à toute détention illicite et à la destruction des pigeons.",17/04/1930,05/04/2005,24000 environnement,SIEGE,54 Boulevard Carnot,,59000,LILLE
49.000.0374,0374,ŒUVRES D'ASSISTANCE ET DE BIENFAISANCE,ASSOCIATION CATHOLIQUE ANGEVINE DES,Assistance et bienfaisance aux catholiques sous toutes les formes dans le département du Maine-et-Loire.,04/02/1909,,20000 caritatives humanit. dev,SIEGE,"26, rue Joachim du Bellay",,49000,ANGERS
75.000.0375,0375,COLLEGE ET DU LYCEE CHAPTAL,ASSOCIATION AMICALE DES A.E. DU,Entretenir entre les membres qui la composent des relations amicales secourables au besoin et faciliter aux associés l'accès aux différents emplois auxquels ils peuvent prétendre.,01/03/1881,14/12/1956,15000 éducation formation,SIEGE,"45, boulevard des Batignolles",,75282,PARIS
13.000.0376,0376,HOSPITALITE POUR LES FEMMES,,"Accueil et hébergement momentané de personnes dénuées de ressources,sans logement et demandant asile, réadaptation de ces personnes par apport complémentaire de culture générale et spécialisée.",18/11/1889,03/07/2001,18000 services medico-sociaux,SIEGE,"15, rue Honnorat",,13003,MARSEILLE
75.000.0377,0377,SOCIETE DU SALON D'AUTOMNE,,"Encourager le développement des beaux arts dans toutes ses manifestations, et ce, particulièrement par des expositions annuelles tant en France qu'à l'étranger.",01/05/1920,20/02/2006,06000 culture,SIEGE,"Grand Palais des Champs-Elysées
Porte C",Avenue Franklin Roosevelt,75008,PARIS
67.000.0378,0378,DIACONAT BETHESDA,,"Former des diaconesses, les employer ensuite au service des malades dans des maisons de santé appartenant à l'œuvre, dans d'autres établissements privés ou publics, ou à domicile en cas de guerre.",13/03/1896,11/05/2000,10 Religion,SIEGE,,,67000,STRASBOURG CEDEX
75.000.0379,0379,SOCIETE DES ELECTRICIENS ET DES ELECTRONICIENS,,"Contribuer au développement de l'électricité, de la radio électricité, et de l'électronique théorique et pratique ainsi qu'à celui des sciences qui s'y rattachent.",07/12/1886,09/05/2001,14000 amicales groupts affinit,SIEGE,"11-17, rue Hamelin",,75006,PARIS CEDEX 16
75.000.0380,0380,ŒUVRES DES LOYERS DES VIEILLARDS DU XVIIEME ARRONDISSEMENT,,Venir en aide aux vieillards malheureux pour le paiement de leurs loyers.S'interdit toute discussion et toute propagande politique et religieuse.,14/12/1891,23/08/1956,20000 caritatives humanit. dev,SIEGE,"18, rue des Batignolles",,75013,PARIS
44.000.0381,0381,SAUVEGARDE DE L'ENFANCE ET ADOLESCENCE DE LOIRE-ATLANTIQUE,ASSOCIATION DEPARTEMENTALE DE,"S'occuper d'enfants moralement abandonnés, menacés de l'être,  ou vagabonds, ou  traduits en justice ; venir en aide aux jeunes gens confiés à des maisons d'éducation surveillée, et aux condamnés libérés.",30/03/1906,17/06/2010,18000 services medico-sociaux,SIEGE,"168, route de Sainte-Luce",CS 11924,44319,NANTES CEDEX 3
91.000.0383,0383,MAISON POUR TOUS,LA,Favoriser l'éducation populaire.,19/02/1929,17/09/1984,15000 éducation formation,SIEGE,,,91211,MARCOUSSIS
75.000.0384,0384,SOCIETE DE L'HISTOIRE DU PROTESTANTISME FRANCAIS,,Rechercher et recueillir tous les documents inédits ou imprimés qui intéressent l'histoire des églises protestantes de langue française.Elle institue des concours et décerne des prix à ce sujet.,13/07/1870,,08 Culture et sciences,SIEGE,"54, rue des Saints Pères",,75008,PARIS
90.000.0385,0385,AMIS DE L'INSTITUT MEDICO-EDUCATIF CHARLES FREDERIC PERDRIZET,ASSOCIATION EVANGELIQUE LES,Assurer l'éducation chrétienne et l'instruction scolaire et professionnelle des enfants nécessiteux ou moralement abandonnés qui lui sont confiés.,20/08/1948,31/01/2001,15000 éducation formation,SIEGE,,,89520,GIROMAGNY
75.000.0386,0386,NOTRE DAME DE BON SECOURS,ASSOCIATION,Direction et gestion de l’hôpital Notre Dame de Bon Secours.,07/12/1923,01/08/2013,17000 santé,SIEGE,"66, rue des Plantes",,75013,PARIS CEDEX 14
75.000.0387,0387,FACULTES DES SCIENCES DE L'UNIVERSITE DE PARIS,ASSOCIATION AMICALE DES A.E. DES,Resserrer les liens d'amitié entre les élèves et les anciens élèves français et étrangers des facultés des sciences des universités de Paris Rappel.,27/11/1969,,15000 éducation formation,SIEGE,"5, Quai Saint Bernard",,75008,PARIS
51.000.0388,0388,DONNEURS DE SANG BENEVOLES DE REIMS ET DE LA REGION,AMICALE DES,"Grouper les personnes des deux sexes en bonne santé pour donner bénévolement leur sang au moins cinq fois par an, et propager l'idée du don du sang.",01/06/1956,22/10/1979,17000 santé,SIEGE,"102, rue du Barbâtre",,51100,REIMS
78.000.0389,0389,SAINT VINCENT,ASSOCIATION,"Éducation familiale, réadaptation à la vie familiale et sociale des jeunes en difficulté dans le département des Yvelines.",12/08/1857,12/08/1969,19000 interventions sociales,SIEGE,,,78000,SAINT-GERMAINT-EN-LAYE
75.000.0390,0390,LYCEE VICTOR DURUY,ASSOCIATION AMICALE DES A.E. DU,"Relations amicales entre anciennes élèves du lycée DURUY, aide et assistance aux anciennes élèves, contribution à la prospérité du Lycée.",11/08/1927,28/12/1976,15000 éducation formation,SIEGE,"33, boulevard des Invalides",,75640,PARIS
75.000.0391,0391,SOCIETE DES AMIS DE L'HOPITAL SAINT ANTOINE,,Accroître les services rendus par l'hôpital saint-Antoine à une partie de la population parisienne et suburbaine.,01/12/1926,24/08/1956,17000 santé,SIEGE,184 faubourg Saint-Antoine,,92808,PARIS
44.000.0392,0392,THETIS ŒUVRE POUR LES ENFANTS DE L'ATLANTIQUE,ASSOCIATION,"Développer et  mener toutes activités dans le domaine médico-social, au bénéfice de tout être humain et en particulier des enfants et adolescents souffrant d’atteintes à leur intégrité physique ou mentale ou de handicaps.",17/11/1902,07/05/2006,17000 santé,SIEGE,"5, rue Boileau",,44000,NANTES
